llm,source,target,accuracy,f1_macro
Qwen-0.5B,uci,motionsense,0.7878148653679117,0.6555346043443672
Qwen-0.5B,uci,hhar,0.7608495346908689,0.6998885707209023
Qwen-0.5B,shoaib,shoaib,0.8235294117647058,0.7867613318292083
Qwen-0.5B,shoaib,uci,0.75142675967026,0.6590354769516125
Qwen-0.5B,shoaib,motionsense,0.7494726392852711,0.6362088589076104
Qwen-0.5B,shoaib,hhar,0.620058969870082,0.5233617911476577
Qwen-0.5B,motionsense,motionsense,0.9273743016759777,0.8613822672748385
Qwen-0.5B,motionsense,uci,0.7999365884590995,0.7214983167189153
Qwen-0.5B,motionsense,shoaib,0.899688689034936,0.8791984886830118
Qwen-0.5B,motionsense,hhar,0.6806412973371418,0.5906121900385168
Qwen-0.5B,hhar,hhar,0.889426399447132,0.8564806744041561
Qwen-0.5B,hhar,uci,0.8658845909955611,0.8036686896143738
Qwen-0.5B,hhar,shoaib,0.7398823936354203,0.6819101790216728
Qwen-0.5B,hhar,motionsense,0.8113909914381436,0.7201887058672347
Qwen-1.5B,uci,uci,0.9412698412698413,0.9154146843716119
Qwen-1.5B,uci,shoaib,0.7848495330335524,0.7533497543271026
Qwen-1.5B,uci,motionsense,0.8283906191835215,0.7223635578342837
Qwen-1.5B,uci,hhar,0.7956325439970515,0.7470621849564885
Qwen-1.5B,shoaib,shoaib,0.8512110726643599,0.8164177988264618
Qwen-1.5B,shoaib,uci,0.7365250475586557,0.6205483501838457
Qwen-1.5B,shoaib,motionsense,0.8488646234024072,0.7649886201629188
Qwen-1.5B,shoaib,hhar,0.5986363217543537,0.483436036232031
Qwen-1.5B,motionsense,motionsense,0.957790192427064,0.919941278186392
Qwen-1.5B,motionsense,uci,0.8481293595434369,0.7894034956385694
Qwen-1.5B,motionsense,shoaib,0.9394673123486683,0.9274615746192639
Qwen-1.5B,motionsense,hhar,0.7432046438772689,0.6766168132272017
Qwen-1.5B,hhar,hhar,0.9322736696613684,0.9142145026718739
Qwen-1.5B,hhar,uci,0.8998097653772986,0.8567931906944011
Qwen-1.5B,hhar,shoaib,0.7212037357315808,0.6387267518230642
Qwen-1.5B,hhar,motionsense,0.8297555527981139,0.7190318926669061
Llama-1B,uci,uci,0.9079365079365079,0.8685778141882823
Llama-1B,uci,shoaib,0.7097890003459011,0.676266240115264
Llama-1B,uci,motionsense,0.8415436158332299,0.7273066961586571
Llama-1B,uci,hhar,0.7962314567400719,0.7447464926623816
Llama-1B,shoaib,shoaib,0.8961937716262975,0.8744348016780484
Llama-1B,shoaib,uci,0.7555485098287889,0.6467174884792769
Llama-1B,shoaib,motionsense,0.8012160317657278,0.6969676969727263
Llama-1B,shoaib,hhar,0.6530913111582051,0.5652801715074102
Llama-1B,motionsense,motionsense,0.936064556176288,0.8747013640078014
Llama-1B,motionsense,uci,0.8478123018389346,0.7838988711420476
Llama-1B,motionsense,shoaib,0.9111034244206156,0.8913154502555038
Llama-1B,motionsense,hhar,0.7707085598452041,0.7038612140211381
Llama-1B,hhar,hhar,0.8974890578207786,0.8666278887640747
Llama-1B,hhar,uci,0.8623969562460367,0.7967495346227043
Llama-1B,hhar,shoaib,0.7205119335869942,0.6277323756351492
Llama-1B,hhar,motionsense,0.8261570914505522,0.7472742521498007
Gemma-2B,uci,uci,0.8206349206349206,0.7197118369197837
Gemma-2B,uci,shoaib,0.5921826357661709,0.5522684652528198
Gemma-2B,uci,motionsense,0.6825908921702445,0.5659646507455813
Gemma-2B,uci,hhar,0.6905924629134802,0.6201457747724015
Gemma-2B,shoaib,shoaib,0.6903114186851211,0.6321130260951385
Gemma-2B,shoaib,uci,0.5976537729866835,0.49056733749288134
Gemma-2B,shoaib,motionsense,0.6462340240724656,0.5244062178707747
Gemma-2B,shoaib,hhar,0.5047913019441629,0.4084191688713079
Gemma-2B,motionsense,motionsense,0.9298572315332092,0.8659768020977773
Gemma-2B,motionsense,uci,0.8649334178820546,0.8081471474106053
Gemma-2B,motionsense,shoaib,0.8837772397094431,0.8579816980125061
Gemma-2B,motionsense,hhar,0.7288768082557818,0.6398487089357641
Gemma-2B,hhar,hhar,0.8958765261460493,0.8653106416076508
Gemma-2B,hhar,uci,0.862714013950539,0.7986383601795525
Gemma-2B,hhar,shoaib,0.6336907644413697,0.518280325332338
Gemma-2B,hhar,motionsense,0.7368159821317781,0.6126954344296178
Phi-3.5-Mini,uci,uci,0.953968253968254,0.9341506675750655
Phi-3.5-Mini,uci,shoaib,0.7416118989968868,0.6883051040309075
Phi-3.5-Mini,uci,motionsense,0.825412582206229,0.670660582429033
Phi-3.5-Mini,uci,hhar,0.7659172579010411,0.7018711119902374
Phi-3.5-Mini,shoaib,shoaib,0.9636678200692042,0.9568793910767771
Phi-3.5-Mini,shoaib,uci,0.7634749524413443,0.6299414971690283
Phi-3.5-Mini,shoaib,motionsense,0.8939074326839558,0.8265922153696241
Phi-3.5-Mini,shoaib,hhar,0.6363678245646365,0.5159457201820514
Phi-3.5-Mini,motionsense,motionsense,0.9503414028553694,0.9065525734669612
Phi-3.5-Mini,motionsense,uci,0.8430564362714014,0.774442458334173
Phi-3.5-Mini,motionsense,shoaib,0.9328951919750951,0.9184010738770301
Phi-3.5-Mini,motionsense,hhar,0.7690039620381461,0.703830328237268
Phi-3.5-Mini,hhar,hhar,0.9463257313982953,0.9290914706473868
Phi-3.5-Mini,hhar,uci,0.9010779961953076,0.8580634216660521
Phi-3.5-Mini,hhar,shoaib,0.5340712556208924,0.3911960719488887
Phi-3.5-Mini,hhar,motionsense,0.7039334905075071,0.550377066519527
