level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L2a-Reprogram,GPT-2,hhar,shoaib,0.6426841923209962,0.5335228188917686,2492177,True,False,False
L2a-Reprogram,GPT-2,hhar,motionsense,0.775654547710634,0.664214058897154,2492177,True,False,False
L2a-Reprogram,GPT-2,hhar,hhar,0.8967979728173232,0.866595250408666,2492177,True,False,False
L2a-Reprogram,Qwen-0.5B,uci,uci,0.9253968253968254,0.8920481984330841,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,uci,shoaib,0.7609823590453131,0.7009841972772572,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,uci,motionsense,0.8200769326219134,0.6946330283934236,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,uci,hhar,0.7981203353911361,0.7479690842550544,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,shoaib,uci,0.7780596068484464,0.689852052421026,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,shoaib,shoaib,0.9186851211072664,0.9012936124231352,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,shoaib,motionsense,0.8623898746742772,0.7923814537454524,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,shoaib,hhar,0.6608311066064683,0.5736827348702891,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,motionsense,uci,0.8325935320228282,0.7620870354443205,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,motionsense,shoaib,0.9474230370114148,0.9363076007821164,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,motionsense,motionsense,0.9410304158907512,0.8818872029234319,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,motionsense,hhar,0.7284161061457661,0.6507376171533227,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,hhar,uci,0.8709575142675967,0.8181939805574043,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,hhar,shoaib,0.6067104808024905,0.4956065297945132,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,hhar,motionsense,0.7546842039955329,0.6379408496039245,3365393,True,False,False
L2a-Reprogram,Qwen-0.5B,hhar,hhar,0.9099285878829764,0.8822898927756081,3365393,True,False,False
L2a-Reprogram,Llama-1B,uci,uci,0.9222222222222224,0.8910405086366625,17117201,True,False,False
L2a-Reprogram,Llama-1B,uci,shoaib,0.7025250778277413,0.6244833492637971,17117201,True,False,False
L2a-Reprogram,Llama-1B,uci,motionsense,0.8395582578483682,0.6817193275021195,17117201,True,False,False
L2a-Reprogram,Llama-1B,uci,hhar,0.7615405878558924,0.695752879953861,17117201,True,False,False
L2a-Reprogram,Llama-1B,shoaib,uci,0.4188332276474318,0.2372003821256328,17117201,True,False,False
L2a-Reprogram,Llama-1B,shoaib,shoaib,0.3996539792387543,0.228433726878011,17117201,True,False,False
L2a-Reprogram,Llama-1B,shoaib,motionsense,0.4726392852711255,0.2385943873430784,17117201,True,False,False
L2a-Reprogram,Llama-1B,shoaib,hhar,0.4032986271077121,0.2312424192704937,17117201,True,False,False
L2a-Reprogram,Llama-1B,motionsense,uci,0.8573240329740013,0.7980761654029004,17117201,True,False,False
L2a-Reprogram,Llama-1B,motionsense,shoaib,0.9373919059149084,0.9262553925560622,17117201,True,False,False
L2a-Reprogram,Llama-1B,motionsense,motionsense,0.9540657976412168,0.9136858883277316,17117201,True,False,False
L2a-Reprogram,Llama-1B,motionsense,hhar,0.7548604072606653,0.6863712450171181,17117201,True,False,False
L2a-Reprogram,Llama-1B,hhar,uci,0.9115409004438808,0.87576176974745,17117201,True,False,False
L2a-Reprogram,Llama-1B,hhar,shoaib,0.6368038740920097,0.521599483227551,17117201,True,False,False
L2a-Reprogram,Llama-1B,hhar,motionsense,0.7696984737560492,0.670256096537684,17117201,True,False,False
